result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time
BE_WIN,0.0,35,False,9.967,9.967,AVAX/USDT,SELL,trend,3.05,2026-02-01 14:15:00
BE_WIN,1.82,66,False,10.039,9.734587970034655,AVAX/USDT,SELL,trend,3.03,2026-02-03 02:30:00
BE_WIN,0.0,25,False,9.928,9.928,AVAX/USDT,SELL,trend,1.61,2026-02-04 13:30:00
BE_WIN,1.49,67,False,69.51,67.50820353528783,LTC/USDT,SELL,trend,2.94,2026-01-20 07:45:00
BE_WIN,0.0,23,False,68.58,68.58,LTC/USDT,SELL,trend,3.04,2026-01-21 08:15:00
BE_WIN,0.0,79,False,68.65,68.65,LTC/USDT,SELL,trend,2.47,2026-01-22 05:00:00
BE_WIN,0.0,49,False,58.73,58.73,LTC/USDT,SELL,trend,3.06,2026-02-01 10:45:00
LOSS,-1.0,7,False,59.15,60.25286691321949,LTC/USDT,SELL,trend,2.38,2026-02-03 02:45:00
LOSS,-1.0,79,False,50.42,51.987792650560124,LTC/USDT,SELL,trend,3.39,2026-02-24 05:15:00
BE_WIN,0.97,26,False,57.7,58.12413973615558,LTC/USDT,BUY,trend,2.94,2026-03-17 13:30:00
LOSS,-1.0,58,False,1.0343,1.0708407045824475,FIL/USDT,SELL,trend,2.45,2026-02-01 23:00:00
LOSS,-1.0,10,False,1.0695,1.0895119049077358,FIL/USDT,SELL,trend,3.17,2026-02-03 02:00:00
LOSS,-1.0,15,False,0.9746,0.9894664321511193,FIL/USDT,SELL,trend,2.01,2026-02-06 23:15:00
BE_WIN,1.76,11,False,0.9859,0.9670717306620812,FIL/USDT,SELL,trend,2.03,2026-02-07 04:15:00
BE_WIN,1.79,72,True,0.974,0.9416402498912607,FIL/USDT,SELL,trend,1.62,2026-02-08 00:00:00
LOSS,-1.0,33,False,0.8995,0.9407117431676794,FIL/USDT,SELL,trend,3.13,2026-02-09 10:15:00
BE_WIN,2.16,31,False,0.9407,0.9214666426058524,FIL/USDT,SELL,trend,2.33,2026-02-09 23:00:00
